Wall time,Step,Value
1690872314.221732,926485,101.23833465576172
1690872448.245149,928848,88.19225311279297
1690872622.0540679,932499,120.41734313964844
1690872723.234698,934214,120.66004180908203
1690873135.1083767,942041,230.33856201171875
1690873913.4452019,955556,226.49508666992188
1690874040.0014846,957719,217.7232666015625
1690874671.1690185,969158,184.7890167236328
1690874938.214678,974034,154.6267547607422
1690874995.6541321,975035,155.74581909179688
1690875139.7541125,977847,129.36814880371094
1690875197.4158494,979213,128.6681671142578
1690875596.9768937,986872,155.322265625
1690875678.035286,988269,154.51866149902344
1690876176.2181602,997522,220.66082763671875
1690876585.157633,1005570,248.92250061035156
1690876856.4505723,1010498,263.3941650390625
1690877160.820843,1016012,282.601318359375
1690877247.41416,1017604,262.36346435546875
1690877532.0559816,1023086,236.89874267578125
1690877851.385977,1029290,168.94921875
1690877858.8891876,1029291,159.41397094726562
1690878475.831221,1040705,135.55601501464844
1690878645.0502784,1043722,171.92076110839844
1690878673.5705009,1044235,178.59873962402344
1690878703.519797,1044735,174.8304901123047
1690878721.078233,1044980,179.82876586914062
1690878748.6562517,1045480,183.5257568359375
1690879180.0350068,1053675,155.90240478515625
1690879733.1292152,1063145,169.97830200195312
1690880126.1000955,1070064,195.63558959960938
1690880446.9101982,1076411,225.890869140625
1690881012.3806667,1087761,224.31797790527344
1690881475.7582037,1096341,239.17474365234375
1690881556.081033,1097590,201.29678344726562
1690881943.3901384,1105409,255.70140075683594
1690882273.0253627,1111483,275.7337341308594
1690882309.1015959,1112302,281.9138488769531
1690882427.4735444,1114433,279.4236145019531
1690882519.9867678,1115800,280.48626708984375
1690882801.4975386,1120544,263.09161376953125
1690883290.9348378,1129410,255.00387573242188
1690883341.7173407,1130593,247.40182495117188
1690883747.9794378,1137632,197.4896240234375
1690884194.7716281,1145417,124.37171173095703
1690884486.5016303,1150971,153.0343475341797
1690884814.4310553,1156462,149.47755432128906
1690885139.6370208,1163271,122.53910064697266
1690885174.9913652,1163772,124.9316635131836
1690885215.7960649,1164772,158.7303009033203
1690885315.5008376,1166780,164.3640594482422
1690885790.9041774,1175064,156.1942901611328
1690885995.2895842,1178313,170.7125244140625
1690886973.4363825,1196354,227.48226928710938
1690887024.7267969,1197074,221.95130920410156
1690887161.3061185,1199621,222.0362548828125
1690887221.1034281,1200476,233.0052490234375
